aluno_id,idade,objetivo,nivel_experiencia,dias_disponiveis_semana,restricao_fisica,equipamento_disponivel,treino_recomendado
1,32,Condicionamento,Avancado,2,Nenhuma,Completo,Treino C
2,37,Hipertrofia,Iniciante,4,Nenhuma,Completo,Treino A
3,24,Condicionamento,Iniciante,3,Lombar,Limitado,Treino D
4,31,Emagrecimento,Iniciante,4,Joelho,Nenhum,Treino D
5,22,Condicionamento,Intermediario,3,Nenhuma,Completo,Treino C
6,34,Hipertrofia,Avancado,3,Nenhuma,Completo,Treino A
7,17,Condicionamento,Iniciante,2,Nenhuma,Limitado,Treino C
8,34,Condicionamento,Avancado,4,Nenhuma,Completo,Treino C
9,23,Emagrecimento,Avancado,3,Nenhuma,Limitado,Treino B
10,33,Hipertrofia,Iniciante,4,Nenhuma,Completo,Treino A
11,32,Condicionamento,Iniciante,2,Nenhuma,Limitado,Treino C
12,34,Hipertrofia,Iniciante,5,Nenhuma,Nenhum,Treino D
13,18,Hipertrofia,Iniciante,2,Joelho,Completo,Treino A
14,35,Condicionamento,Intermediario,5,Nenhuma,Limitado,Treino C
15,29,Condicionamento,Iniciante,3,Nenhuma,Completo,Treino C
16,28,Hipertrofia,Intermediario,3,Ombro,Completo,Treino C
17,38,Condicionamento,Avancado,2,Nenhuma,Limitado,Treino C
18,32,Hipertrofia,Avancado,3,Nenhuma,Limitado,Treino A
19,16,Condicionamento,Intermediario,4,Nenhuma,Completo,Treino C
20,31,Hipertrofia,Intermediario,5,Lombar,Completo,Treino C
21,20,Condicionamento,Iniciante,2,Nenhuma,Completo,Treino C
22,23,Emagrecimento,Intermediario,3,Nenhuma,Limitado,Treino B
23,20,Hipertrofia,Intermediario,3,Joelho,Completo,Treino C
24,22,Hipertrofia,Intermediario,5,Nenhuma,Limitado,Treino C
25,40,Hipertrofia,Avancado,3,Nenhuma,Completo,Treino A
26,36,Condicionamento,Iniciante,6,Nenhuma,Completo,Treino C
27,30,Condicionamento,Intermediario,6,Nenhuma,Limitado,Treino C
28,32,Emagrecimento,Intermediario,2,Nenhuma,Completo,Treino D
29,27,Condicionamento,Iniciante,5,Nenhuma,Limitado,Treino C
30,31,Condicionamento,Intermediario,3,Ombro,Completo,Treino C
